Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g)
Vegetarian,10,Evening Snack,Ivy Gourd Coconut Curry,"Ivy 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,156,14,7,9
Vegetarian,10,Dinner,Paper Dosa + Moong Sprouts Sagu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Moong 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,343,50,11,10
Vegetarian,10,Day Total,,—,Balanced,1283,166,45,43
Vegetarian,11,Breakfast,Sprouted Horse Gram Usli,"Pulses 40g, Onion 20g, Curry Leaves 2g, Coconut 10g, Oil 5ml",Healthy,148,18,6,6
Vegetarian,11,Morning Snack,Tomato Coconut Curry,"Tomato 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,160,16,6,7
Vegetarian,11,Lunch,Onion Sambar + Ghee Rice + Roasted Soy Nuts,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,561,87,16,14
Vegetarian,11,Evening Snack,Green Peas Huli,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g",Healthy,125,15,4,5
Vegetarian,11,Dinner,Wheat Phulka + Pepper Chicken Curry,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Pepper 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,309,46,10,8
Vegetarian,11,Day Total,,—,Balanced,1303,182,42,40
Vegetarian,12,Breakfast,Thatte Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,190,35,5,3
Vegetarian,12,Morning Snack,Cowpeas Coconut Curry,"Cowpeas 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,172,14,6,8
Vegetarian,12,Lunch,Udupi Sambar + Steamed Rice + Mushroom Coconut Curry,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Mushroom 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,536,82,18,13
Vegetarian,12,Evening Snack,Chaas with Roasted Cumin,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,170,16,4,6
Vegetarian,12,Dinner,Avalakki Dosa + Hyacinth Beans Pepper Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,367,54,11,12
Vegetarian,12,Day Total,,—,Balanced,1435,201,44,42
Vegetarian,13,Breakfast,Mini Idli Bowl,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,328,52,9,9
Vegetarian,13,Morning Snack,Chow Chow Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,115,12,4,5
Vegetarian,13,Lunch,Pumpkin Dal + Malnad Pulav + Peanut Sundal,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,567,80,18,12
Vegetarian,13,Evening Snack,Hyacinth Beans Gojju,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,126,13,4,5
Vegetarian,13,Dinner,Jolada Rotti + Avalakki Mixture (roasted),"Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g + Flattened Rice 40g, Onion 20g, Curry Leaves 2g, Green Chili 5g, Oil 5ml",Healthy,365,53,10,8
Vegetarian,13,Day Total,,—,Balanced,1501,210,45,39
Vegetarian,14,Breakfast,Sweet Corn Cup,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,159,19,5,6
Vegetarian,14,Morning Snack,Hyacinth Beans Mustard Curry,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,155,15,6,8
Vegetarian,14,Lunch,Soppu Saaru + Malnad Pulav + Chicken Rasam,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,518,75,16,12
Vegetarian,14,Evening Snack,Baby Corn Coconut Curry,"Baby 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,167,13,5,8
Vegetarian,14,Dinner,Thatte Idli + Bitter Gourd Mustard Curry,"Rice 50g, Urad Dal 20g, Salt 2g + Bitter 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,352,51,10,11
Vegetarian,14,Day Total,,—,Balanced,1351,173,42,45
Vegetarian,15,Breakfast,Groundnut Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,158,17,6,6
Vegetarian,15,Morning Snack,Field Beans Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,113,14,4,5
Vegetarian,15,Lunch,Kalu Saaru + Peas Pulao + Carrot Koddelu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,490,73,16,12
Vegetarian,15,Evening Snack,Pumpkin Palya,"Pumpkin 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,162,15,6,7
Vegetarian,15,Dinner,Akki Rotti + Anjeer (Dried Fig),"Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,352,54,11,8
Vegetarian,15,Day Total,,—,Balanced,1275,173,43,38
Vegetarian,16,Breakfast,Boiled Peanuts,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,166,17,5,6
Vegetarian,16,Morning Snack,Green Peas Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,160,15,6,8
Vegetarian,16,Lunch,Lemon Rasam + Jeera Rice + Spinach Gojju,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Spinach 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,484,73,16,12
Vegetarian,16,Evening Snack,Dry Fruit Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,172,16,5,6
Vegetarian,16,Dinner,Mixed Millet Dosa + Hyacinth Beans Sagu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,348,48,11,10
Vegetarian,16,Day Total,,—,Balanced,1330,169,43,42
Vegetarian,17,Breakfast,Salted Lassi,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,169,17,5,6
Vegetarian,17,Morning Snack,Roasted Edamame,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,16,5,6
Vegetarian,17,Lunch,Tamarind Rasam + Coconut Rice + Sprouted Moong Usli,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Pulses 40g, Onion 20g, Curry Leaves 2g, Coconut 10g, Oil 5ml",Healthy,533,91,18,13
Vegetarian,17,Evening Snack,Drumstick Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,121,15,4,5
Vegetarian,17,Dinner,Avalakki Dosa + Baby Corn Coconut Curry,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Baby 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,363,51,10,10
Vegetarian,17,Day Total,,—,Balanced,1343,190,42,40
Vegetarian,18,Breakfast,Wheat Phulka,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,188,31,6,3
Vegetarian,18,Morning Snack,Capsicum Masala,"Capsicum 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,168,13,7,8
Vegetarian,18,Lunch,Nati Koli Saaru + Ghee Rice + Raw Banana Palya,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Raw 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,474,83,17,12
Vegetarian,18,Evening Snack,Green Peas Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,123,15,4,6
Vegetarian,18,Dinner,Benne Dosa + Jackfruit Bulbs (seasonal),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,366,54,10,10
Vegetarian,18,Day Total,,—,Balanced,1319,196,44,39
Vegetarian,19,Breakfast,Chicken Dosa Roll,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,346,51,11,10
Vegetarian,19,Morning Snack,Dry Fruit Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,172,16,5,6
Vegetarian,19,Lunch,Coconut Dal + Tomato Rice + Beans Sagu,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Beans 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,493,81,15,12
Vegetarian,19,Evening Snack,Baby Corn Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,114,13,4,5
Vegetarian,19,Dinner,Mallige Idli + Spinach Kurma,"Rice 50g, Urad Dal 20g, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,332,49,10,10
Vegetarian,19,Day Total,,—,Balanced,1457,210,45,43
Vegetarian,20,Breakfast,Veg Semiya Upma,"Rava 40g, Onion 20g, Green Chili 5g, Curry Leaves 2g, Oil 5ml",Healthy,359,55,9,9
Vegetarian,20,Morning Snack,Coriander Stems Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,122,15,4,5
Vegetarian,20,Lunch,Chicken Rasam + Lemon Rice + Ridge Gourd Masala,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Ridge 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,540,71,17,16
Vegetarian,20,Evening Snack,Coconut Chunks,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,156,18,5,6
Vegetarian,20,Dinner,Neer Dosa + Field Beans Pepper Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,312,52,8,8
Vegetarian,20,Day Total,,—,Balanced,1489,211,43,44
Vegetarian,21,Breakfast,Peanut Sundal,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,172,19,5,6
Vegetarian,21,Morning Snack,Raw Banana Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,14,6,8
Vegetarian,21,Lunch,Bas Saaru + Jeera Rice + Broccoli Masala,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Broccoli 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,499,74,16,11
Vegetarian,21,Evening Snack,Groundnut Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,158,17,6,6
Vegetarian,21,Dinner,Rava Idli + Raw Banana Mustard Curry,"Rice 50g, Urad Dal 20g, Salt 2g + Raw 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,292,47,9,8
Vegetarian,21,Day Total,,—,Balanced,1278,171,42,39
Vegetarian,22,Breakfast,Roasted Edamame,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,16,5,6
Vegetarian,22,Morning Snack,Baby Corn Coconut Curry,"Baby 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,167,13,5,8
Vegetarian,22,Lunch,Kalu Saaru + Malnad Pulav + Capsicum Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,466,82,16,12
Vegetarian,22,Evening Snack,Coriander Stems Masala,"Coriander 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,172,14,6,8
Vegetarian,22,Dinner,Rava Idli + Chow Chow Mustard Curry,"Rice 50g, Urad Dal 20g, Salt 2g + Chow 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,338,46,10,12
Vegetarian,22,Day Total,,—,Balanced,1300,171,42,46
Vegetarian,23,Breakfast,Ragi Malt,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,331,59,9,9
Vegetarian,23,Morning Snack,Sprouted Horse Gram Usli,"Pulses 40g, Onion 20g, Curry Leaves 2g, Coconut 10g, Oil 5ml",Healthy,148,18,6,6
Vegetarian,23,Lunch,Avarekalu Saaru + Tomato Rice + Horse Gram Kootu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,516,70,16,12
