Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g),Batch
Vegetarian,17,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,17,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,17,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,17,Day Total,,—,Balanced,1560,249,44,35,.\batch1_vegetarian_mealplan.csv
Vegetarian,18,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,18,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,18,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,18,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,18,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,18,Day Total,,—,Balanced,1420,223,43,38,.\batch1_vegetarian_mealplan.csv
Vegetarian,19,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,19,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,19,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,19,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,19,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,19,Day Total,,—,Balanced,1530,249,49,33,.\batch1_vegetarian_mealplan.csv
Vegetarian,20,Breakfast,Upma,"Rava/Sooji 50g, Curry Leaves 2g, Mustard 2g, Chili 5g, Oil 5ml, Salt 2g",Healthy,320,50,8,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,20,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,20,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,20,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,20,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,20,Day Total,,—,Balanced,1640,254,44,40,.\batch1_vegetarian_mealplan.csv
Vegetarian,21,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,21,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,21,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,21,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,21,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,21,Day Total,,—,Balanced,1460,231,42,35,.\batch1_vegetarian_mealplan.csv
Vegetarian,22,Breakfast,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,22,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,22,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,22,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,22,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,22,Day Total,,—,Balanced,1460,232,45,35,.\batch1_vegetarian_mealplan.csv
Vegetarian,23,Breakfast,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,23,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,23,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,23,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,23,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,23,Day Total,,—,Balanced,1620,244,44,41,.\batch1_vegetarian_mealplan.csv
Vegetarian,24,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,24,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,24,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,24,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,24,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,24,Day Total,,—,Balanced,1440,225,41,35,.\batch1_vegetarian_mealplan.csv
Vegetarian,25,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,25,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,25,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,25,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,25,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,25,Day Total,,—,Balanced,1440,242,46,30,.\batch1_vegetarian_mealplan.csv
Vegetarian,26,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,26,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
